metric,policy,run,table,source_log,line,avg,base_at,completed_at,count,done_at,experiment_label,first_period,hybrid_distance_weight,hybrid_wait_weight,max,max_completed,max_period,max_sim_time,min_period,repeat,requested_at,return,seed,served_at,stop_delay,total,wait
wait_time,NEAREST,NEAREST-r1,T1,NEAREST-r1.log,491,17.71s,,,2,,NEAREST,5,0,1,27.55s,3,16,180,8,1,13.22,,2001,40.77,10,,27.55s
total_time,NEAREST,NEAREST-r1,T1,NEAREST-r1.log,517,,,42.82,2,,NEAREST,5,0,1,,3,16,180,8,1,13.22,,2001,,10,29.60s,
return_time,NEAREST,NEAREST-r1,T1,NEAREST-r1.log,658,15.87s,55.01,,2,42.78,NEAREST,5,0,1,19.52s,3,16,180,8,1,,12.22s,2001,,10,,
wait_time,NEAREST,NEAREST-r1,T2,NEAREST-r1.log,752,20.18s,,,3,,NEAREST,5,0,1,27.55s,3,16,180,8,1,37.54,,2001,62.66,10,,25.12s
total_time,NEAREST,NEAREST-r1,T2,NEAREST-r1.log,781,,,64.70,3,,NEAREST,5,0,1,,3,16,180,8,1,37.54,,2001,,10,27.17s,
wait_time,NEAREST,NEAREST-r2,T6,NEAREST-r2.log,379,27.04s,,,1,,NEAREST,5,0,1,27.04s,3,16,180,8,2,5.02,,2002,32.06,10,,27.04s
total_time,NEAREST,NEAREST-r2,T6,NEAREST-r2.log,407,,,34.11,1,,NEAREST,5,0,1,,3,16,180,8,2,5.02,,2002,,10,29.09s,
return_time,NEAREST,NEAREST-r2,T6,NEAREST-r2.log,678,23.07s,57.15,,1,34.08,NEAREST,5,0,1,23.07s,3,16,180,8,2,,23.07s,2002,,10,,
wait_time,NEAREST,NEAREST-r2,T2,NEAREST-r2.log,708,16.35s,,,2,,NEAREST,5,0,1,27.04s,3,16,180,8,2,55.17,,2002,60.83,10,,5.66s
total_time,NEAREST,NEAREST-r2,T2,NEAREST-r2.log,734,,,62.88,2,,NEAREST,5,0,1,,3,16,180,8,2,55.17,,2002,,10,7.71s,
return_time,NEAREST,NEAREST-r2,T2,NEAREST-r2.log,806,13.92s,67.62,,2,62.85,NEAREST,5,0,1,23.07s,3,16,180,8,2,,4.77s,2002,,10,,
wait_time,NEAREST,NEAREST-r2,T1,NEAREST-r2.log,1179,35.24s,,,3,,NEAREST,5,0,1,73.02s,3,16,180,8,2,27.30,,2002,100.32,10,,73.02s
total_time,NEAREST,NEAREST-r2,T1,NEAREST-r2.log,1205,,,102.37,3,,NEAREST,5,0,1,,3,16,180,8,2,27.30,,2002,,10,75.07s,
return_time,NEAREST,NEAREST-r2,T1,NEAREST-r2.log,1297,11.84s,110.02,,3,102.34,NEAREST,5,0,1,23.07s,3,16,180,8,2,,7.68s,2002,,10,,
wait_time,NEAREST,NEAREST-r3,T1,NEAREST-r3.log,196,10.08s,,,1,,NEAREST,5,0,1,10.08s,3,16,180,8,3,5.02,,2003,15.10,10,,10.08s
total_time,NEAREST,NEAREST-r3,T1,NEAREST-r3.log,222,,,17.15,1,,NEAREST,5,0,1,,3,16,180,8,3,5.02,,2003,,10,12.13s,
return_time,NEAREST,NEAREST-r3,T1,NEAREST-r3.log,615,35.10s,52.22,,1,17.12,NEAREST,5,0,1,35.10s,3,16,180,8,3,,35.10s,2003,,10,,
wait_time,NEAREST,NEAREST-r3,T5,NEAREST-r3.log,734,26.72s,,,2,,NEAREST,5,0,1,43.36s,3,16,180,8,3,18.75,,2003,62.11,10,,43.36s
total_time,NEAREST,NEAREST-r3,T5,NEAREST-r3.log,760,,,64.16,2,,NEAREST,5,0,1,,3,16,180,8,3,18.75,,2003,,10,45.41s,
return_time,NEAREST,NEAREST-r3,T5,NEAREST-r3.log,878,22.85s,74.72,,2,64.13,NEAREST,5,0,1,35.10s,3,16,180,8,3,,10.59s,2003,,10,,
wait_time,NEAREST,NEAREST-r3,T4,NEAREST-r3.log,1042,28.10s,,,3,,NEAREST,5,0,1,43.36s,3,16,180,8,3,57.12,,2003,87.97,10,,30.85s
total_time,NEAREST,NEAREST-r3,T4,NEAREST-r3.log,1071,,,90.02,3,,NEAREST,5,0,1,,3,16,180,8,3,57.12,,2003,,10,32.90s,
