metric,policy,run,table,source_log,line,avg,avg_speed,completed,completed_at,count,delivery,distance,dynamic_environment,experiment_label,experiment_mode,first_period,hybrid_distance_weight,hybrid_wait_weight,map_id,max_completed,max_period,max_sim_time,min_period,pending_wait,rate,repeat,requested_at,return,seed,stop_at,stop_delay,time,total,wait
wait_time,FIFO,1,T1,FIFO-1.log,34,2.40s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,2.40s
delivery_time,FIFO,1,T1,FIFO-1.log,35,,,,,,2.37s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,FIFO,FIFO-1,T1,FIFO-1.log,41,,,,9.47,1,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,5.02,,1001,,5,,4.45s,
return_time,FIFO,1,T1,FIFO-1.log,54,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,3.68s,1001,,5,,,
success_rate,FIFO,1,,FIFO-1.log,55,,,1,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,1,
mission,FIFO,1,,FIFO-1.log,56,,0.015,,,,,0.122,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,8.06s,,
wait_time,FIFO,1,T2,FIFO-1.log,94,2.43s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,2.46s
delivery_time,FIFO,1,T2,FIFO-1.log,95,,,,,,2.43s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,FIFO,FIFO-1,T2,FIFO-1.log,101,,,,42.14,2,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,37.63,,1001,,5,,4.51s,
return_time,FIFO,1,T2,FIFO-1.log,110,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,0.03s,1001,,5,,,
success_rate,FIFO,1,,FIFO-1.log,111,,,2,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,2,
mission,FIFO,1,,FIFO-1.log,112,,0.013,,,,,0.056,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,4.48s,,
wait_time,FIFO,1,T1,FIFO-1.log,155,2.44s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,2.46s
delivery_time,FIFO,1,T1,FIFO-1.log,156,,,,,,2.43s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,FIFO,FIFO-1,T1,FIFO-1.log,164,,,,75.78,3,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,71.26,,1001,,5,,4.51s,
return_time,FIFO,1,T1,FIFO-1.log,174,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,2.85s,1001,,5,,,
success_rate,FIFO,1,,FIFO-1.log,175,,,3,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,3,
mission,FIFO,1,,FIFO-1.log,176,,0.008,,,,,0.058,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,7.30s,,
wait_time,FIFO,1,T4,FIFO-1.log,232,5.62s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,15.14s
delivery_time,FIFO,1,T4,FIFO-1.log,233,,,,,,15.10s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,FIFO,FIFO-1,T4,FIFO-1.log,241,,,,119.01,4,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,101.82,,1001,,5,,17.18s,
return_time,FIFO,1,T4,FIFO-1.log,274,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,16.19s,1001,,5,,,
success_rate,FIFO,1,,FIFO-1.log,275,,,4,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,4,
mission,FIFO,1,,FIFO-1.log,276,,0.026,,,,,0.860,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,33.31s,,
wait_time,FIFO,1,T4,FIFO-1.log,309,7.69s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,16.00s
delivery_time,FIFO,1,T4,FIFO-1.log,310,,,,,,15.52s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,FIFO,FIFO-1,T4,FIFO-1.log,318,,,,152.74,5,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,134.69,,1001,,5,,18.05s,
return_time,FIFO,1,T4,FIFO-1.log,351,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,16.51s,1001,,5,,,
success_rate,FIFO,1,,FIFO-1.log,352,,,5,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,5,
mission,FIFO,1,,FIFO-1.log,353,,0.025,,,,,0.842,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,34.05s,,
wait_time,FIFO,1,T5,FIFO-1.log,386,9.32s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,17.47s
delivery_time,FIFO,1,T5,FIFO-1.log,387,,,,,,15.17s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,FIFO,FIFO-1,T5,FIFO-1.log,395,,,,186.43,6,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,166.91,,1001,,5,,19.52s,
return_time,FIFO,1,T5,FIFO-1.log,427,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,15.33s,1001,,5,,,
success_rate,FIFO,1,,FIFO-1.log,428,,,6,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,6,
mission,FIFO,1,,FIFO-1.log,429,,0.026,,,,,0.848,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,32.51s,,
wait_time,FIFO,1,T4,FIFO-1.log,462,10.66s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,18.66s
delivery_time,FIFO,1,T4,FIFO-1.log,463,,,,,,15.36s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,FIFO,FIFO-1,T4,FIFO-1.log,471,,,,219.14,7,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,198.43,,1001,,5,,20.70s,
return_time,FIFO,1,T4,FIFO-1.log,504,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,16.42s,1001,,5,,,
success_rate,FIFO,1,,FIFO-1.log,505,,,7,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,7,
mission,FIFO,1,,FIFO-1.log,506,,0.025,,,,,0.842,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,33.79s,,
wait_time,FIFO,1,T2,FIFO-1.log,517,9.86s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,4.29s
delivery_time,FIFO,1,T2,FIFO-1.log,518,,,,,,0.03s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,FIFO,FIFO-1,T2,FIFO-1.log,526,,,,237.60,8,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,231.26,,1001,,5,,6.34s,
return_time,FIFO,1,T2,FIFO-1.log,533,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,0.03s,1001,,5,,,
success_rate,FIFO,1,,FIFO-1.log,534,,,8,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,8,
mission,FIFO,1,,FIFO-1.log,535,,0.000,,,,,0.000,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,2.08s,,
wait_time,FIFO,1,T1,FIFO-1.log,576,9.34s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,5.15s
delivery_time,FIFO,1,T1,FIFO-1.log,577,,,,,,5.12s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,FIFO,FIFO-1,T1,FIFO-1.log,585,,,,269.57,9,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,262.37,,1001,,5,,7.20s,
return_time,FIFO,1,T1,FIFO-1.log,597,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,5.25s,1001,,5,,,
success_rate,FIFO,1,,FIFO-1.log,598,,,9,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,9,
mission,FIFO,1,,FIFO-1.log,599,,0.016,,,,,0.202,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,12.38s,,
wait_time,FIFO,1,T6,FIFO-1.log,688,11.85s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,34.43s
delivery_time,FIFO,1,T6,FIFO-1.log,689,,,,,,34.40s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,FIFO,FIFO-1,T6,FIFO-1.log,697,,,,324.16,10,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,287.68,,1001,,5,,36.48s,
pending_wait,FIFO,FIFO-1,T4,FIFO-1.log,699,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,4.00s,,1,320.16,,1001,324.16,5,,,
wait_time,FIFO,2,T5,FIFO-2.log,54,16.03s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,16.03s
delivery_time,FIFO,2,T5,FIFO-2.log,55,,,,,,16.00s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,
total_time,FIFO,FIFO-2,T5,FIFO-2.log,61,,,,23.10,1,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,5.02,,1002,,5,,18.08s,
return_time,FIFO,2,T5,FIFO-2.log,95,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,15.26s,1002,,5,,,
success_rate,FIFO,2,,FIFO-2.log,96,,,1,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,2,,,1002,,5,,1,
mission,FIFO,2,,FIFO-2.log,97,,0.027,,,,,0.914,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,33.28s,,
wait_time,FIFO,2,T2,FIFO-2.log,108,9.20s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,2.37s
delivery_time,FIFO,2,T2,FIFO-2.log,109,,,,,,0.03s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,
total_time,FIFO,FIFO-2,T2,FIFO-2.log,117,,,,40.42,2,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,36.00,,1002,,5,,4.42s,
return_time,FIFO,2,T2,FIFO-2.log,124,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,0.03s,1002,,5,,,
success_rate,FIFO,2,,FIFO-2.log,125,,,2,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,2,,,1002,,5,,2,
mission,FIFO,2,,FIFO-2.log,126,,0.000,,,,,0.000,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,2.08s,,
wait_time,FIFO,2,T3,FIFO-2.log,200,15.04s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,26.72s
delivery_time,FIFO,2,T3,FIFO-2.log,201,,,,,,26.69s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,
total_time,FIFO,FIFO-2,T3,FIFO-2.log,209,,,,91.23,3,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,62.46,,1002,,5,,28.77s,
return_time,FIFO,2,T3,FIFO-2.log,259,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,26.94s,1002,,5,,,
success_rate,FIFO,2,,FIFO-2.log,260,,,3,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,2,,,1002,,5,,3,
mission,FIFO,2,,FIFO-2.log,261,,0.026,,,,,1.455,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,55.65s,,
wait_time,FIFO,2,T6,FIFO-2.log,367,27.82s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,66.18s
delivery_time,FIFO,2,T6,FIFO-2.log,368,,,,,,40.35s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,
total_time,FIFO,FIFO-2,T6,FIFO-2.log,376,,,,160.54,4,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,92.32,,1002,,5,,68.22s,
return_time,FIFO,2,T6,FIFO-2.log,449,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,36.19s,1002,,5,,,
success_rate,FIFO,2,,FIFO-2.log,450,,,4,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,2,,,1002,,5,,4,
mission,FIFO,2,,FIFO-2.log,451,,0.024,,,,,1.868,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,78.56s,,
wait_time,FIFO,2,T1,FIFO-2.log,467,38.00s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,78.72s
delivery_time,FIFO,2,T1,FIFO-2.log,468,,,,,,5.18s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,
total_time,FIFO,FIFO-2,T1,FIFO-2.log,474,,,,203.94,5,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,123.17,,1002,,5,,80.77s,
return_time,FIFO,2,T1,FIFO-2.log,488,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,5.28s,1002,,5,,,
success_rate,FIFO,2,,FIFO-2.log,489,,,5,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,2,,,1002,,5,,5,
mission,FIFO,2,,FIFO-2.log,490,,0.016,,,,,0.205,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,12.48s,,
wait_time,FIFO,2,T5,FIFO-2.log,526,43.21s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,69.25s
delivery_time,FIFO,2,T5,FIFO-2.log,527,,,,,,15.33s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,
total_time,FIFO,FIFO-2,T5,FIFO-2.log,533,,,,226.56,6,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,155.26,,1002,,5,,71.30s,
return_time,FIFO,2,T5,FIFO-2.log,564,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,15.20s,1002,,5,,,
success_rate,FIFO,2,,FIFO-2.log,565,,,6,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,2,,,1002,,5,,6,
mission,FIFO,2,,FIFO-2.log,566,,0.026,,,,,0.849,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,32.54s,,
wait_time,FIFO,2,T3,FIFO-2.log,654,49.74s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,88.90s
delivery_time,FIFO,2,T3,FIFO-2.log,655,,,,,,32.54s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,
total_time,FIFO,FIFO-2,T3,FIFO-2.log,666,,,,276.32,7,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,185.38,,1002,,5,,90.94s,
return_time,FIFO,2,T3,FIFO-2.log,716,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,27.17s,1002,,5,,,
success_rate,FIFO,2,,FIFO-2.log,717,,,7,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,2,,,1002,,5,,7,
mission,FIFO,2,,FIFO-2.log,718,,0.024,,,,,1.506,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,61.73s,,
wait_time,FIFO,2,T1,FIFO-2.log,734,55.52s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,96.00s
delivery_time,FIFO,2,T1,FIFO-2.log,735,,,,,,5.18s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,
total_time,FIFO,FIFO-2,T1,FIFO-2.log,743,,,,310.69,8,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,212.64,,1002,,5,,98.05s,
return_time,FIFO,2,T1,FIFO-2.log,755,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,5.18s,1002,,5,,,
success_rate,FIFO,2,,FIFO-2.log,756,,,8,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,2,,,1002,,5,,8,
mission,FIFO,2,,FIFO-2.log,757,,0.016,,,,,0.202,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,12.38s,,
wait_time,FIFO,2,T4,FIFO-2.log,790,59.27s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,89.31s
delivery_time,FIFO,2,T4,FIFO-2.log,791,,,,,,15.33s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,
total_time,FIFO,FIFO-2,T4,FIFO-2.log,797,,,,333.22,9,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,241.86,,1002,,5,,91.36s,
return_time,FIFO,2,T4,FIFO-2.log,832,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,16.45s,1002,,5,,,
success_rate,FIFO,2,,FIFO-2.log,833,,,9,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,2,,,1002,,5,,9,
mission,FIFO,2,,FIFO-2.log,834,,0.025,,,,,0.840,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,33.79s,,
wait_time,FIFO,2,T2,FIFO-2.log,845,60.87s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,75.23s
delivery_time,FIFO,2,T2,FIFO-2.log,846,,,,,,0.03s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,,,
total_time,FIFO,FIFO-2,T2,FIFO-2.log,852,,,,351.71,10,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,274.43,,1002,,5,,77.28s,
pending_wait,FIFO,FIFO-2,T4,FIFO-2.log,854,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,16.32s,,2,335.39,,1002,351.71,5,,,
pending_wait,FIFO,FIFO-2,T6,FIFO-2.log,855,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,49.15s,,2,302.56,,1002,351.71,5,,,
return_time,FIFO,2,T2,FIFO-2.log,864,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,0.03s,1002,,5,,,
success_rate,FIFO,2,,FIFO-2.log,865,,,10,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,2,,,1002,,5,,10,
mission,FIFO,2,,FIFO-2.log,866,,0.000,,,,,0.000,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,2,,,1002,,5,2.08s,,
wait_time,FIFO,3,T4,FIFO-3.log,55,16.16s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,16.16s
delivery_time,FIFO,3,T4,FIFO-3.log,56,,,,,,16.13s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,
total_time,FIFO,FIFO-3,T4,FIFO-3.log,63,,,,23.23,1,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,5.02,,1003,,5,,18.21s,
return_time,FIFO,3,T4,FIFO-3.log,96,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,16.38s,1003,,5,,,
success_rate,FIFO,3,,FIFO-3.log,97,,,1,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,3,,,1003,,5,,1,
mission,FIFO,3,,FIFO-3.log,98,,0.026,,,,,0.909,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,34.53s,,
wait_time,FIFO,3,T2,FIFO-3.log,110,10.08s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,4.00s
delivery_time,FIFO,3,T2,FIFO-3.log,111,,,,,,0.03s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,
total_time,FIFO,FIFO-3,T2,FIFO-3.log,119,,,,41.66,2,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,35.62,,1003,,5,,6.05s,
return_time,FIFO,3,T2,FIFO-3.log,126,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,0.03s,1003,,5,,,
success_rate,FIFO,3,,FIFO-3.log,127,,,2,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,3,,,1003,,5,,2,
mission,FIFO,3,,FIFO-3.log,128,,0.000,,,,,0.000,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,2.08s,,
wait_time,FIFO,3,T4,FIFO-3.log,187,11.81s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,15.26s
delivery_time,FIFO,3,T4,FIFO-3.log,188,,,,,,15.23s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,
total_time,FIFO,FIFO-3,T4,FIFO-3.log,196,,,,85.15,3,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,67.84,,1003,,5,,17.31s,
return_time,FIFO,3,T4,FIFO-3.log,229,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,16.35s,1003,,5,,,
success_rate,FIFO,3,,FIFO-3.log,230,,,3,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,3,,,1003,,5,,3,
mission,FIFO,3,,FIFO-3.log,231,,0.025,,,,,0.845,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,33.60s,,
wait_time,FIFO,3,T4,FIFO-3.log,264,13.55s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,18.78s
delivery_time,FIFO,3,T4,FIFO-3.log,265,,,,,,15.55s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,
total_time,FIFO,FIFO-3,T4,FIFO-3.log,273,,,,119.07,4,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,98.24,,1003,,5,,20.83s,
return_time,FIFO,3,T4,FIFO-3.log,306,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,16.13s,1003,,5,,,
success_rate,FIFO,3,,FIFO-3.log,307,,,4,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,3,,,1003,,5,,4,
mission,FIFO,3,,FIFO-3.log,308,,0.025,,,,,0.840,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,33.70s,,
wait_time,FIFO,3,T3,FIFO-3.log,395,19.64s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,44.00s
delivery_time,FIFO,3,T3,FIFO-3.log,396,,,,,,32.35s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,
total_time,FIFO,FIFO-3,T3,FIFO-3.log,404,,,,169.57,5,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,123.52,,1003,,5,,46.05s,
return_time,FIFO,3,T3,FIFO-3.log,455,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,26.88s,1003,,5,,,
success_rate,FIFO,3,,FIFO-3.log,456,,,5,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,3,,,1003,,5,,5,
mission,FIFO,3,,FIFO-3.log,457,,0.025,,,,,1.505,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,61.25s,,
wait_time,FIFO,3,T6,FIFO-3.log,559,30.98s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,87.68s
delivery_time,FIFO,3,T6,FIFO-3.log,560,,,,,,40.45s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,
total_time,FIFO,FIFO-3,T6,FIFO-3.log,568,,,,238.91,6,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,149.18,,1003,,5,,89.73s,
return_time,FIFO,3,T6,FIFO-3.log,641,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,36.03s,1003,,5,,,
success_rate,FIFO,3,,FIFO-3.log,642,,,6,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,3,,,1003,,5,,6,
mission,FIFO,3,,FIFO-3.log,643,,0.024,,,,,1.866,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,78.50s,,
wait_time,FIFO,3,T1,FIFO-3.log,662,41.04s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,101.38s
delivery_time,FIFO,3,T1,FIFO-3.log,663,,,,,,5.18s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,
total_time,FIFO,FIFO-3,T1,FIFO-3.log,669,,,,282.14,7,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,178.72,,1003,,5,,103.42s,
return_time,FIFO,3,T1,FIFO-3.log,683,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,5.25s,1003,,5,,,
success_rate,FIFO,3,,FIFO-3.log,684,,,7,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,3,,,1003,,5,,7,
mission,FIFO,3,,FIFO-3.log,685,,0.016,,,,,0.202,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,12.45s,,
wait_time,FIFO,3,T4,FIFO-3.log,719,47.17s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,90.08s
delivery_time,FIFO,3,T4,FIFO-3.log,720,,,,,,15.42s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,3,,,1003,,5,,,
