scope,policy,experiment_label,run,metric,hybrid_wait_weight,hybrid_distance_weight,count,total,mean,min,max
run,HYBRID,HYBRID_w2_d40,HYBRID_w2_d40-r2,total_time,2,40,2,111.750,55.875,29.090,82.660
run,HYBRID,HYBRID_w2_d40,HYBRID_w2_d40-r2,wait_time,2,40,2,107.650,53.825,27.040,80.610
run,HYBRID,HYBRID_w3_d20,HYBRID_w3_d20-r1,return_time,3,20,2,31.740,15.870,12.220,19.520
run,HYBRID,HYBRID_w3_d20,HYBRID_w3_d20-r1,total_time,3,20,3,94.620,31.540,9.920,55.100
run,HYBRID,HYBRID_w3_d20,HYBRID_w3_d20-r1,wait_time,3,20,3,88.480,29.493,7.870,53.060
run,HYBRID,HYBRID_w3_d20,HYBRID_w3_d20-r2,return_time,3,20,1,23.070,23.070,23.070,23.070
run,HYBRID,HYBRID_w3_d20,HYBRID_w3_d20-r2,total_time,3,20,2,111.750,55.875,29.090,82.660
run,HYBRID,HYBRID_w3_d20,HYBRID_w3_d20-r2,wait_time,3,20,2,107.650,53.825,27.040,80.610
run,HYBRID,HYBRID_w3_d30,HYBRID_w3_d30-r1,return_time,3,30,2,31.740,15.870,12.220,19.520
run,HYBRID,HYBRID_w3_d30,HYBRID_w3_d30-r1,total_time,3,30,3,94.620,31.540,9.920,55.100
run,HYBRID,HYBRID_w3_d30,HYBRID_w3_d30-r1,wait_time,3,30,3,88.480,29.493,7.870,53.060
run,HYBRID,HYBRID_w3_d30,HYBRID_w3_d30-r2,return_time,3,30,1,23.070,23.070,23.070,23.070
run,HYBRID,HYBRID_w3_d30,HYBRID_w3_d30-r2,total_time,3,30,2,111.750,55.875,29.090,82.660
run,HYBRID,HYBRID_w3_d30,HYBRID_w3_d30-r2,wait_time,3,30,2,107.650,53.825,27.040,80.610
run,HYBRID,HYBRID_w3_d40,HYBRID_w3_d40-r1,return_time,3,40,2,31.740,15.870,12.220,19.520
run,HYBRID,HYBRID_w3_d40,HYBRID_w3_d40-r1,total_time,3,40,3,94.620,31.540,9.920,55.100
run,HYBRID,HYBRID_w3_d40,HYBRID_w3_d40-r1,wait_time,3,40,3,88.480,29.493,7.870,53.060
run,HYBRID,HYBRID_w3_d40,HYBRID_w3_d40-r2,return_time,3,40,1,23.070,23.070,23.070,23.070
run,HYBRID,HYBRID_w3_d40,HYBRID_w3_d40-r2,total_time,3,40,2,111.750,55.875,29.090,82.660
run,HYBRID,HYBRID_w3_d40,HYBRID_w3_d40-r2,wait_time,3,40,2,107.650,53.825,27.040,80.610
run,NEAREST,NEAREST,NEAREST-r1,return_time,,,2,31.740,15.870,12.220,19.520
run,NEAREST,NEAREST,NEAREST-r1,total_time,,,3,66.690,22.230,9.920,29.600
run,NEAREST,NEAREST,NEAREST-r1,wait_time,,,3,60.540,20.180,7.870,27.550
run,NEAREST,NEAREST,NEAREST-r2,return_time,,,3,35.520,11.840,4.770,23.070
run,NEAREST,NEAREST,NEAREST-r2,total_time,,,3,111.870,37.290,7.710,75.070
run,NEAREST,NEAREST,NEAREST-r2,wait_time,,,3,105.720,35.240,5.660,73.020
