scope,policy,experiment_label,run,metric,hybrid_wait_weight,hybrid_distance_weight,count,total,mean,min,max
run,HYBRID,HYBRID_w1_d50,HYBRID_w1_d50-r2,total_time,1,50,3,168.260,56.087,29.090,101.310
run,HYBRID,HYBRID_w1_d50,HYBRID_w1_d50-r2,wait_time,1,50,3,162.110,54.037,27.040,99.260
run,HYBRID,HYBRID_w1_d50,HYBRID_w1_d50-r3,return_time,1,50,2,45.690,22.845,10.590,35.100
run,HYBRID,HYBRID_w1_d50,HYBRID_w1_d50-r3,total_time,1,50,3,125.250,41.750,12.130,67.710
run,HYBRID,HYBRID_w1_d50,HYBRID_w1_d50-r3,wait_time,1,50,3,119.100,39.700,10.080,65.660
run,NEAREST,NEAREST,NEAREST-r1,return_time,,,2,31.740,15.870,12.220,19.520
run,NEAREST,NEAREST,NEAREST-r1,total_time,,,3,66.690,22.230,9.920,29.600
run,NEAREST,NEAREST,NEAREST-r1,wait_time,,,3,60.540,20.180,7.870,27.550
run,NEAREST,NEAREST,NEAREST-r2,return_time,,,3,35.520,11.840,4.770,23.070
run,NEAREST,NEAREST,NEAREST-r2,total_time,,,3,111.870,37.290,7.710,75.070
run,NEAREST,NEAREST,NEAREST-r2,wait_time,,,3,105.720,35.240,5.660,73.020
run,NEAREST,NEAREST,NEAREST-r3,return_time,,,2,45.690,22.845,10.590,35.100
run,NEAREST,NEAREST,NEAREST-r3,total_time,,,3,90.440,30.147,12.130,45.410
run,NEAREST,NEAREST,NEAREST-r3,wait_time,,,3,84.290,28.097,10.080,43.360
