simulation_id,event_type,table_id,value,timestamp
8,request,,6,
8,wait_time,T4,4.127999999999986,
8,delivery_time,T4,4.096000000000004,
8,completion,,6,
8,return_time,T4,5.72799999999998,
8,request,,7,
8,wait_time,T2,2.9439999999999884,
8,delivery_time,T2,2.9119999999999777,
8,completion,,7,
8,return_time,T2,1.1200000000000045,
8,request,,8,
8,wait_time,T1,3.26400000000001,
8,delivery_time,T1,3.2319999999999993,
8,completion,,8,
8,return_time,T1,4.831999999999994,
8,request,,9,
8,wait_time,T5,5.856000000000023,
8,delivery_time,T5,5.824000000000012,
8,completion,,9,
8,return_time,T5,6.271999999999991,
8,request,,10,
8,wait_time,T2,4.448000000000036,
8,delivery_time,T2,4.415999999999997,
8,completion,,10,
9,request,,1,
9,wait_time,T4,2.88,
9,delivery_time,T4,2.848,
9,completion,,1,
9,return_time,T4,5.792,
9,request,,2,
9,wait_time,T2,2.8800000000000026,
9,delivery_time,T2,2.847999999999999,
9,completion,,2,
9,return_time,T2,1.088000000000001,
9,request,,3,
9,wait_time,T4,7.039999999999992,
9,delivery_time,T4,7.007999999999996,
9,completion,,3,
9,return_time,T4,5.632000000000005,
9,request,,4,
9,wait_time,T4,5.440000000000012,
9,delivery_time,T4,5.408000000000001,
9,completion,,4,
9,return_time,T4,4.416000000000011,
9,request,,5,
9,wait_time,T3,18.36800000000001,
9,delivery_time,T3,18.336,
9,completion,,5,
9,return_time,T3,17.695999999999998,
9,request,,6,
9,wait_time,T5,19.104000000000013,
9,delivery_time,T5,6.688000000000017,
9,completion,,6,
9,return_time,T5,5.984000000000009,
9,request,,7,
9,wait_time,T1,4.415999999999997,
9,delivery_time,T1,4.383999999999986,
9,completion,,7,
9,return_time,T1,4.319999999999993,
9,request,,8,
9,wait_time,T3,22.367999999999995,
9,delivery_time,T3,22.335999999999984,
9,completion,,8,
9,return_time,T3,34.75200000000004,
9,request,,9,
9,wait_time,T5,34.14399999999998,
9,delivery_time,T5,5.823999999999955,
9,completion,,9,
9,return_time,T5,6.271999999999991,
9,request,,10,
9,wait_time,T1,14.592000000000041,
9,delivery_time,T1,4.352000000000032,
9,completion,,10,
9,return_time,T1,4.288000000000011,
