simulation_id,experiment,dynamic_environment,policy,last_table,total_requests,completed_requests,success_rate,mission_time,distance,avg_speed,collisions,avg_wait,avg_delivery,avg_return
4,EXP1,False,NEAREST,T4,1,1,1.0,138.176,1.9575795498933197,0.014167290628570228,67,4.160000000000001,4.128000000000001,132.032
4,EXP1,False,NEAREST,T2,2,2,1.0,11.424000000000007,0.2180699945766547,0.019088760029469062,67,56.27199999999999,4.303999999999995,68.48
4,EXP1,False,NEAREST,T1,3,3,1.0,14.111999999999995,0.32370081040255494,0.022937982596552938,67,82.35733333333333,4.6826666666666625,47.87200000000001
4,EXP1,False,NEAREST,T2,4,4,1.0,9.920000000000016,0.10288839546545789,0.010371814059017916,67,65.36,4.511999999999997,36.88000000000001
4,EXP1,False,NEAREST,T1,5,5,1.0,17.47199999999998,0.3117181986952558,0.01784101411946292,69,56.441599999999994,5.369599999999994,30.835200000000007
4,EXP1,False,NEAREST,T2,6,6,1.0,9.888000000000005,0.1044181651285539,0.01056008951542818,69,50.330666666666666,5.135999999999998,26.346666666666675
4,EXP1,False,NEAREST,T1,7,7,1.0,17.536,0.3133409358464426,0.017868438403652064,71,45.94285714285714,5.668571428571427,23.533714285714293
4,EXP1,False,NEAREST,T2,8,8,1.0,9.951999999999998,0.10441325454418184,0.01049168554503435,71,42.64,5.459999999999999,21.084000000000007
4,EXP1,False,NEAREST,T2,9,9,1.0,11.072000000000003,0.09920041092021227,0.00895957468571281,72,38.63466666666667,5.418666666666665,19.182222222222226
5,EXP1,False,NEAREST,T6,1,1,1.0,32.512,1.2208468311108176,0.03755065302383174,1,14.047999999999998,14.015999999999998,16.479999999999997
5,EXP1,False,NEAREST,T2,2,2,1.0,11.520000000000003,0.20635308535087366,0.017912594214485555,2,16.048,9.36,10.639999999999997
5,EXP1,False,NEAREST,T1,3,3,1.0,14.112000000000002,0.32369836071884883,0.022937809007854932,2,17.919999999999998,8.053333333333333,9.311999999999998
5,EXP1,False,NEAREST,T1,4,4,1.0,19.232,0.3338379669373424,0.017358463339088106,5,17.36,8.64,8.687999999999999
5,EXP1,False,NEAREST,T4,5,5,1.0,14.079999999999998,0.3652763199066234,0.025942920447913596,5,28.9344,8.1792,8.095999999999998
5,EXP1,False,NEAREST,T4,6,6,1.0,142.208,1.9375869932128047,0.013625021048132346,74,25.237333333333336,7.872,29.055999999999997
5,EXP1,False,NEAREST,T2,7,7,1.0,11.488,0.2180783703949032,0.018983145055266642,74,41.462857142857146,7.39657142857143,25.609142857142853
5,EXP1,False,NEAREST,T1,8,8,1.0,14.111999999999995,0.3237174446711031,0.022939161328734636,74,52.536,7.152000000000001,23.24
5,EXP1,False,NEAREST,T2,9,9,1.0,10.30400000000003,0.10456105595062329,0.010147618007630336,74,48.12444444444444,6.801777777777779,21.13422222222222
7,EXP1,True,NEAREST,T2,1,1,1.0,10.112000000000002,0.1299537972371631,0.012851443555890336,0,4.064000000000001,4.032000000000001,4.064
7,EXP1,True,NEAREST,T4,2,2,1.0,13.696000000000002,0.3396288479265521,0.024797667050712038,0,4.928000000000001,4.896000000000001,4.992000000000001
7,EXP1,True,NEAREST,T6,3,3,1.0,38.624,1.2390576977393326,0.03207999424552953,4,10.624,8.704,10.09066666666667
7,EXP1,True,NEAREST,T5,4,4,1.0,19.647999999999996,0.4914507149294993,0.02501276032825221,7,18.712000000000003,8.968000000000002,9.536000000000001
7,EXP1,True,NEAREST,T4,5,5,1.0,72.832,1.1146032668645973,0.015303757508575865,41,16.704,8.518400000000002,20.448
7,EXP1,True,NEAREST,T2,6,6,1.0,10.975999999999999,0.22206198607883376,0.02023159494158471,43,23.21066666666667,7.701333333333337,17.930666666666664
7,EXP1,True,NEAREST,T1,7,7,1.0,16.03200000000001,0.38926966545274866,0.024280792505785204,44,38.80228571428571,7.648000000000003,16.324571428571424
7,EXP1,True,NEAREST,T2,8,8,1.0,14.144000000000005,0.14822973113562732,0.010480043208118444,47,36.168,7.344000000000004,15.147999999999998
7,EXP1,True,NEAREST,T2,9,9,1.0,10.240000000000009,0.1031018590004604,0.010068540918013702,49,33.08088888888889,7.064888888888891,13.841777777777779
8,EXP1,True,NEAREST,T5,1,1,1.0,17.727999999999998,0.46310435865007,0.026122763913022904,0,7.6160000000000005,7.5840000000000005,8.127999999999998
8,EXP1,True,NEAREST,T2,2,2,1.0,11.36,0.19245485027614875,0.016941448087689152,0,9.024,6.0,6.527999999999998
8,EXP1,True,NEAREST,T5,3,3,1.0,20.192,0.504814390723203,0.025000712694294918,1,10.005333333333335,6.6560000000000015,7.754666666666665
8,EXP1,True,NEAREST,T4,4,4,1.0,21.088000000000008,0.38779086547805947,0.01838917230074257,5,11.032000000000002,7.296000000000001,8.280000000000001
8,EXP1,True,NEAREST,T4,5,5,1.0,88.28800000000001,1.3880670483473765,0.015722035252212944,45,11.360000000000003,7.564800000000001,22.150400000000005
8,EXP1,True,NEAREST,T2,6,6,1.0,12.159999999999997,0.2813038262065193,0.02313353833935192,46,22.87466666666667,7.189333333333331,19.264000000000006
8,EXP1,True,NEAREST,T1,7,7,1.0,15.903999999999996,0.3669889822591426,0.023075262969010482,47,40.24685714285715,7.19542857142857,17.46285714285715
8,EXP1,True,NEAREST,T2,8,8,1.0,13.087999999999994,0.15561149623330833,0.011889631435919042,49,36.88,6.947999999999996,16.012000000000004
8,EXP1,True,NEAREST,T1,9,9,1.0,17.47200000000001,0.3898499862332755,0.022312842618662735,51,34.49955555555556,7.146666666666663,14.979555555555558
8,EXP1,True,NEAREST,T2,10,10,1.0,10.335999999999984,0.10449489802438708,0.010109800505455421,51,32.6368,6.835199999999995,13.910400000000001
9,EXP1,True,NEAREST,T4,1,1,1.0,49.856,0.8794710303138839,0.017640224452701456,21,4.160000000000001,4.128000000000001,43.711999999999996
9,EXP1,True,NEAREST,T2,2,2,1.0,14.56000000000001,0.3048648783122859,0.020938521862107536,23,12.703999999999999,4.896000000000001,25.296000000000003
9,EXP1,True,NEAREST,T1,3,3,1.0,16.99199999999999,0.40551391642530904,0.023864990373429217,26,25.429333333333336,5.589333333333333,19.53066666666667
9,EXP1,True,NEAREST,T1,4,4,1.0,16.832000000000008,0.31088326343492817,0.01846977563182795,27,21.416000000000004,5.896000000000001,16.648000000000003
9,EXP1,True,NEAREST,T2,5,5,1.0,9.695999999999998,0.11238749755862931,0.011591119797713422,27,19.110400000000002,5.484799999999998,14.086400000000003
